content
0,"Aplikasinya bagus & lengkap, pernah dapat kerjaan dr sini juga. Tapi lebih suka tampilan yg lama dulu sebelum diperbaharui, lebih cepat & bisa ngintip jumlah pelamar. Aplikasi yg baru juga tidak bisa melihat profil perusahaan & lowongan kerja apa saja yg diberikan perusahaan. Aplikasi yg terbaru malah sering error, padahal koneksi internet bagus. Satu lagi, semenjak memasukkan lamaran di jobstreet, kenapa jadi banyak telpon & WA masuk dr penipu ya?"
1,"Aku ga tahu ya, selalu dihubungi perusahaan bodong padahal gak pernah apply perusahaan tsb. Dan kalimatnya pasti mencantumkan kalo mereka dpt data dari app ini, tolong lebih lebih amanin lagi, padahal aku udh aktifkan mode tidak terlihat tapi tetap bisa dicomot data sama yg bodong2 ini padahal ga pernah apply. Mohon ditingkatkan lagi keamanannya, terimakasih."
2,"Saya kecewa dengan apk jobstreet sekarang tidak terpercaya seperti yang dulu. Contohnya saya apply untuk part time di bioskop cgv poins, tapi Saya malah di WA entah dari pihak mana menjadi tiktok affiliate yang pekerjaannya online ngelike in postingan orang (tidak sesuai balasannya dengan job yang saya apply). Itu hanya satu contoh, pokoknya setiap saya apply, nanti ada WA mirip2 seperti itu terus. Sangat tidak berguna balasannya."
3,"Saya lebih suka jobstreet versi sebelumnya, dimana bila kita masukin lamaran di suatu perusahaan, dan si rekruter tertarik dgn profil kita, lalu tertera keterangan jika profil sudah dilihat ke x1, x2 dst. Itu tanda kita bisa saja akan di hubungi oleh si rekruter. Atau si rektuter tidak cocok dgn profil kita. Daripada yg versi sekarang cuman keterangan sudah dilihat aja, ga ada keterangan di lihat xxx. Nah ini kekurangan versi sekrang menurut saya. Mungkin versi berikut fitur ini dimasukin lagi"
4,"Belum adanya tipe magang, dalam judul sudah dicari magang/internship, yang keluar tetap pekerjaan biasa. Jadi aplikasi untuk mencari tempat magang belum maximal, mohon tambahkan magang dalam jenis pekerjaan"
5,Sebetulnya bagus dan sangat membantu aplikasinya.. Tapi sngt disayangkan dan hny sekedar formalitas saja untuk perusahaan2 menginklankan di jobstreet. Sudah banyak melamar2 di jobstreet tapi dari perusahaan yang saya apply tidak pernah di lihat / di respon lamaran2nya sampai batas pembukaan lamaran di tutup.....#indonesiacemas2045
6,"Jobstreet sekarang tidak akurat. tidak ada notice update untuk lamaran yang sudah di apply sampai mana roges step by stepnya. tidak ada feedback sama sekali. kemudian pencarian Jobstreet juga kacau. isi sistem sekarang parah yang digunakan Sama jobstreet. di ketik pencarian itu A malah yang muncul Z, kacau sistemnya Jobstreet. jelek banget terlalu banyak update malah bikin eror. tidak ada manfaatnya sekarang"
7,"Sedikit kecewa dengan jobstreet sekarang, untuk upload surat lamaran format pdf. Cukup susah dan memakan waktu lama. Padahal sudah di konversi juga file nya. Mohon untuk di tinjau kembali. Terimakasih 🙏"
8,"Gua pake aplikasi ini dari 2015, sampe detik ini belum perna ada yang nyangkut. Padahal pengisian kolom perkolom nya sudah gua lengkap selengkapnya. Lebih enak di LinkedIn kaya dari pada disini."
9,Gue herann sama aplikasi ini udah hampir 1 tahun saya kirim lamaran ke berbagai loker tapi tidak ada 1 pun yang terpanggil atu gimana dan aneh nya tiap apa yang ada poin ++ saya pengalaman tetap saja tidak ada panggilan..
